unit,parent_iso3,metric,year,value,unit_measure,precision,methodology_notes
ES-VC,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-VC,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-VC,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-VA,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-VA,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-VA,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-VA,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-VA,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-VA,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-V,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-V,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-V,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-V,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-V,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-V,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-ZA,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-ZA,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-ZA,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-ZA,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-ZA,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-ZA,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-Z,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-Z,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-Z,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-Z,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-Z,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-Z,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-VI,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-VI,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-VI,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-VI,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-VI,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-VI,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ES-AV,ESP,population,2024.0,48807137.0,people,1,Total population (World Bank estimate)
ES-AV,ESP,gdp,2024.0,1722745978335.16,current USD,2,GDP current US$ (World Bank estimate)
ES-AV,ESP,unemployment_rate,2024.0,11.394,% of labor force,2,Unemployment rate (modeled ILO estimate)
ES-AV,ESP,inflation_cpi,2024.0,2.77417826534772,% change,2,"Inflation, consumer prices annual %"
ES-AV,ESP,labour_force_participation,2024.0,57.379,% of population,2,Labor force participation rate (modeled ILO estimate)
ES-AV,ESP,broadband_subscriptions,2023.0,37.2148,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AF,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AF,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AF,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AF,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AF,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AF,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AM,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AM,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AM,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AM,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AM,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AM,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-BE,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-BE,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-BE,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-BE,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-BE,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-BE,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-BE,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-BE,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-BE,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-BE,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-BE,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-BE,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-DD,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-DD,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-DD,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-DD,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-DD,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-DD,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-DD,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-DD,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-DD,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-DD,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-DD,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-DD,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-GA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-GA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-GA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-GA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-GA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-GA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-GA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-GA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-GA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-GA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-GA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-GA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-HA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-HA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-HA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-HA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-HA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-HA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-HA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-HA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-HA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-HA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-HA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-HA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-OR,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-OR,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-OR,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-OR,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-OR,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-OR,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-OR,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-OR,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-OR,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-OR,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-OR,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-OR,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SI,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SI,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SI,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SI,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SI,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SI,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SO,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SO,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SO,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SO,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SO,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SO,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SN,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SN,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SN,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SN,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SN,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SN,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SW,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SW,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SW,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SW,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SW,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SW,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SO,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SO,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SO,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SO,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SO,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SO,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SI,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SI,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SI,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SI,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SI,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SI,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-TI,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-TI,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-TI,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-TI,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-TI,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-TI,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-TI,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-TI,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-TI,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-TI,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-TI,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-TI,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SN,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SN,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SN,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SN,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SN,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SN,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-SW,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-SW,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-SW,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-SW,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-SW,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-SW,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AA,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AA,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AA,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AA,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AA,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AA,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AF,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AF,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AF,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AF,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AF,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AF,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
ET-AM,ETH,population,2024.0,132059767.0,people,1,Total population (World Bank estimate)
ET-AM,ETH,gdp,,,current USD,2,GDP current US$ (World Bank estimate)
ET-AM,ETH,unemployment_rate,2024.0,3.398,% of labor force,2,Unemployment rate (modeled ILO estimate)
ET-AM,ETH,inflation_cpi,2024.0,21.0377460577711,% change,2,"Inflation, consumer prices annual %"
ET-AM,ETH,labour_force_participation,2024.0,67.684,% of population,2,Labor force participation rate (modeled ILO estimate)
ET-AM,ETH,broadband_subscriptions,,,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-01,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-01,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-01,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-01,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-01,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-01,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-11,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-11,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-11,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-11,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-11,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-11,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-19,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-19,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-19,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-19,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-19,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-19,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-06,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-06,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-06,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-06,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-06,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-06,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-02,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-02,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-02,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-02,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-02,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-02,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-03,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-03,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-03,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-03,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-03,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-03,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-04,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-04,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-04,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-04,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-04,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-04,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-05,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-05,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-05,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-05,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-05,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-05,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-05,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-05,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-05,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-05,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-05,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-05,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-06,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-06,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-06,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-06,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-06,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-06,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-07,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-07,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-07,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-07,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-07,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-07,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-08,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-08,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-08,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-08,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-08,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-08,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-09,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-09,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-09,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-09,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-09,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-09,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-09,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-09,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
FI-09,FIN,unemployment_rate,2024.0,8.26,% of labor force,2,Unemployment rate (modeled ILO estimate)
FI-09,FIN,inflation_cpi,2024.0,1.56568906231616,% change,2,"Inflation, consumer prices annual %"
FI-09,FIN,labour_force_participation,2024.0,60.228,% of population,2,Labor force participation rate (modeled ILO estimate)
FI-09,FIN,broadband_subscriptions,2023.0,35.3318,subscriptions per 100 people,3,Fixed broadband subscriptions per 100 people
FI-01,FIN,population,2024.0,5637214.0,people,1,Total population (World Bank estimate)
FI-01,FIN,gdp,2024.0,299835625550.781,current USD,2,GDP current US$ (World Bank estimate)
